method,dataset
Random_1958_v2,ucla
Random_1958_v3,ucla
Random_1958_v4,ucla
Random_1958_v5,ucla
Random_1958_v6,ucla
Random_1958_v7,ucla
Random_1958_v8,ucla
Random_1958_v9,ucla
Random_19877_v0,ucla
Random_19877_v1,ucla
Random_19877_v2,ucla
Random_19877_v3,ucla
Random_19877_v4,ucla
Random_19877_v5,ucla
Random_19877_v6,ucla
Random_19877_v7,ucla
Random_19877_v8,ucla
Random_19877_v9,ucla
Random_19900_v0,ucla
Random_19900_v1,ucla
Random_19900_v2,ucla
Random_19900_v3,ucla
Random_19900_v4,ucla
Random_19900_v5,ucla
Random_19900_v6,ucla
Random_19900_v7,ucla
Random_19900_v8,ucla
Random_19900_v9,ucla
Random_19_v0,ucla
Random_19_v1,ucla
Random_19_v2,ucla
Random_19_v3,ucla
Random_19_v4,ucla
Random_19_v5,ucla
Random_19_v6,ucla
Random_19_v7,ucla
Random_19_v8,ucla
Random_19_v9,ucla
Random_1_v0,ucla
Random_1_v1,ucla
Random_1_v2,ucla
Random_1_v3,ucla
Random_1_v4,ucla
Random_1_v5,ucla
Random_1_v6,ucla
Random_1_v7,ucla
Random_1_v8,ucla
Random_1_v9,ucla
Random_201_v0,ucla
Random_201_v1,ucla
Random_201_v2,ucla
Random_201_v3,ucla
Random_201_v4,ucla
Random_201_v5,ucla
Random_201_v6,ucla
Random_201_v7,ucla
Random_201_v8,ucla
Random_201_v9,ucla
Random_20_v0,ucla
Random_20_v1,ucla
Random_20_v2,ucla
Random_20_v3,ucla
Random_20_v4,ucla
Random_20_v5,ucla
Random_20_v6,ucla
Random_20_v7,ucla
Random_20_v8,ucla
Random_20_v9,ucla
Random_214_v0,ucla
Random_214_v1,ucla
Random_214_v2,ucla
Random_214_v3,ucla
Random_214_v4,ucla
Random_214_v5,ucla
Random_214_v6,ucla
Random_214_v7,ucla
Random_214_v8,ucla
Random_214_v9,ucla
Random_21_v0,ucla
Random_21_v1,ucla
Random_21_v2,ucla
Random_21_v3,ucla
Random_21_v4,ucla
Random_21_v5,ucla
Random_21_v6,ucla
Random_21_v7,ucla
Random_21_v8,ucla
Random_21_v9,ucla
